Energie	Gemessen	WT	DM	Red
300,000000	0,001790	0,000032	0,005806	0,000301
302,000000	0,001679	0,000035	0,005754	0,000218
304,000000	0,001567	0,000042	0,005603	0,000156
306,000000	0,001608	0,000055	0,005359	0,000110
308,000000	0,001558	0,000074	0,005036	0,000076
310,000000	0,001627	0,000100	0,004649	0,000052
312,000000	0,001356	0,000134	0,004216	0,000035
314,000000	0,001323	0,000179	0,003756	0,000024
316,000000	0,001070	0,000236	0,003287	0,000016
318,000000	0,000905	0,000308	0,002826	0,000011
320,000000	0,000843	0,000396	0,002387	0,000008
322,000000	0,000803	0,000504	0,001980	0,000006
324,000000	0,001038	0,000634	0,001614	0,000006
326,000000	0,000743	0,000787	0,001293	0,000007
328,000000	0,000917	0,000964	0,001017	0,000008
330,000000	0,000793	0,001168	0,000786	0,000011
332,000000	0,001039	0,001396	0,000597	0,000015
334,000000	0,001081	0,001650	0,000445	0,000020
336,000000	0,001146	0,001925	0,000327	0,000027
338,000000	0,001293	0,002219	0,000236	0,000036
340,000000	0,001384	0,002526	0,000168	0,000049
342,000000	0,001650	0,002840	0,000118	0,000065
344,000000	0,001729	0,003154	0,000082	0,000086
346,000000	0,001820	0,003460	0,000058	0,000112
348,000000	0,001974	0,003749	0,000042	0,000145
350,000000	0,002262	0,004013	0,000033	0,000187
352,000000	0,002529	0,004242	0,000030	0,000239
354,000000	0,002506	0,004429	0,000030	0,000302
356,000000	0,002569	0,004568	0,000035	0,000379
358,000000	0,002671	0,004654	0,000044	0,000472
360,000000	0,002805	0,004682	0,000057	0,000582
362,000000	0,002710	0,004654	0,000075	0,000713
364,000000	0,002633	0,004568	0,000099	0,000866
366,000000	0,002738	0,004429	0,000130	0,001043
368,000000	0,002612	0,004242	0,000170	0,001246
370,000000	0,002641	0,004013	0,000219	0,001475
372,000000	0,002424	0,003749	0,000279	0,001733
374,000000	0,002195	0,003460	0,000353	0,002020
376,000000	0,002087	0,003154	0,000443	0,002334
378,000000	0,002286	0,002840	0,000549	0,002675
380,000000	0,002213	0,002526	0,000673	0,003041
382,000000	0,001963	0,002219	0,000818	0,003428
384,000000	0,001892	0,001925	0,000985	0,003832
386,000000	0,002037	0,001650	0,001173	0,004250
388,000000	0,001778	0,001396	0,001384	0,004673
390,000000	0,001806	0,001168	0,001616	0,005097
392,000000	0,001979	0,000964	0,001868	0,005513
394,000000	0,001923	0,000787	0,002138	0,005914
396,000000	0,002019	0,000634	0,002422	0,006293
398,000000	0,002073	0,000504	0,002717	0,006640
400,000000	0,002198	0,000396	0,003018	0,006949
402,000000	0,002382	0,000308	0,003319	0,007212
404,000000	0,002336	0,000236	0,003614	0,007424
406,000000	0,002465	0,000179	0,003895	0,007579
408,000000	0,002275	0,000134	0,004157	0,007673
410,000000	0,002523	0,000099	0,004392	0,007705
412,000000	0,002488	0,000072	0,004594	0,007673
414,000000	0,002476	0,000052	0,004757	0,007579
416,000000	0,002513	0,000037	0,004878	0,007424
418,000000	0,002550	0,000026	0,004952	0,007212
420,000000	0,002633	0,000018	0,004976	0,006949
422,000000	0,002361	0,000012	0,004952	0,006640
424,000000	0,002415	0,000008	0,004878	0,006293
426,000000	0,002271	0,000006	0,004757	0,005914
428,000000	0,002176	0,000004	0,004594	0,005513
430,000000	0,002179	0,000002	0,004392	0,005097
432,000000	0,002000	0,000002	0,004157	0,004673
434,000000	0,001935	0,000001	0,003895	0,004250
436,000000	0,001644	0,000001	0,003614	0,003832
438,000000	0,001443	0,000000	0,003319	0,003428
440,000000	0,001340	0,000000	0,003018	0,003041
442,000000	0,001240	0,000000	0,002717	0,002675
444,000000	0,001094	0,000000	0,002422	0,002334
446,000000	0,000840	0,000000	0,002138	0,002020
448,000000	0,000829	0,000000	0,001868	0,001733
450,000000	0,000728	0,000000	0,001616	0,001475
452,000000	0,000843	0,000000	0,001384	0,001246
454,000000	0,000688	0,000000	0,001173	0,001043
456,000000	0,000344	0,000000	0,000985	0,000866
458,000000	0,000325	0,000000	0,000818	0,000713
460,000000	0,000149	0,000000	0,000673	0,000582
462,000000	0,000179	0,000000	0,000549	0,000472
464,000000	0,000220	0,000000	0,000443	0,000379
466,000000	0,000267	0,000000	0,000353	0,000302
468,000000	0,000050	0,000000	0,000279	0,000239
470,000000	0,000031	0,000000	0,000219	0,000187
472,000000	-0,000133	0,000000	0,000169	0,000145
474,000000	0,000040	0,000000	0,000130	0,000112
476,000000	-0,000059	0,000000	0,000099	0,000086
478,000000	-0,000019	0,000000	0,000074	0,000065
480,000000	-0,000060	0,000000	0,000055	0,000049
482,000000	0,000009	0,000000	0,000041	0,000036
484,000000	-0,000156	0,000000	0,000030	0,000027
486,000000	-0,000131	0,000000	0,000021	0,000020
488,000000	0,000211	0,000000	0,000015	0,000014
490,000000	-0,000119	0,000000	0,000011	0,000010
492,000000	-0,000102	0,000000	0,000008	0,000007
494,000000	0,000178	0,000000	0,000005	0,000005
496,000000	0,000280	0,000000	0,000004	0,000004
498,000000	-0,000111	0,000000	0,000002	0,000003
500,000000	-0,000035	0,000000	0,000002	0,000002
502,000000	0,000033	0,000000	0,000001	0,000001
504,000000	0,000166	0,000000	0,000001	0,000001
506,000000	-0,000094	0,000000	0,000000	0,000001
508,000000	-0,000023	0,000000	0,000000	0,000000
510,000000	0,000075	0,000000	0,000000	0,000000
512,000000	0,000042	0,000000	0,000000	0,000000
514,000000	-0,000036	0,000000	0,000000	0,000000
516,000000	-0,000013	0,000000	0,000000	0,000000
518,000000	-0,000132	0,000000	0,000000	0,000000
520,000000	-0,000023	0,000000	0,000000	0,000000
522,000000	-0,000026	0,000000	0,000000	0,000000
524,000000	0,000022	0,000000	0,000000	0,000000
526,000000	-0,000053	0,000000	0,000000	0,000000
528,000000	0,000045	0,000000	0,000000	0,000000
530,000000	0,000097	0,000000	0,000000	0,000000
532,000000	0,000015	0,000000	0,000000	0,000000
534,000000	0,000034	0,000000	0,000000	0,000000
536,000000	0,000005	0,000000	0,000000	0,000000
538,000000	0,000000	0,000000	0,000000	0,000000
540,000000	-0,000069	0,000000	0,000000	0,000000
542,000000	0,000030	0,000000	0,000000	0,000000
544,000000	-0,000009	0,000000	0,000000	0,000000
546,000000	0,000201	0,000000	0,000000	0,000000
548,000000	0,000151	0,000000	0,000000	0,000000
550,000000	0,000037	0,000000	0,000000	0,000000
552,000000	-0,000073	0,000000	0,000000	0,000000
554,000000	-0,000107	0,000000	0,000000	0,000000
556,000000	0,000114	0,000000	0,000000	0,000000
558,000000	0,000025	0,000000	0,000000	0,000000
560,000000	0,000046	0,000000	0,000000	0,000000
562,000000	-0,000167	0,000000	0,000000	0,000000
564,000000	0,000089	0,000000	0,000000	0,000000
566,000000	0,000044	0,000000	0,000000	0,000000
568,000000	-0,000106	0,000000	0,000000	0,000000
570,000000	-0,000045	0,000000	0,000000	0,000000
572,000000	0,000025	0,000000	0,000000	0,000000
574,000000	0,000005	0,000000	0,000000	0,000000
576,000000	-0,000028	0,000000	0,000000	0,000000
578,000000	-0,000010	0,000000	0,000000	0,000000
580,000000	-0,000024	0,000000	0,000000	0,000000
582,000000	0,000015	0,000000	0,000000	0,000000
584,000000	0,000141	0,000000	0,000000	0,000000
586,000000	-0,000246	0,000000	0,000000	0,000000
588,000000	-0,000023	0,000000	0,000000	0,000000
590,000000	0,000017	0,000000	0,000000	0,000000
592,000000	0,000028	0,000000	0,000000	0,000000
594,000000	-0,000036	0,000000	0,000000	0,000000
596,000000	-0,000168	0,000000	0,000000	0,000000
598,000000	0,000031	0,000000	0,000000	0,000000
600,000000	0,000166	0,000000	0,000000	0,000000
